symbol,start_date,end_date,years,trades,strategy_return,buy_hold_return,excess_return,cagr,sharpe,win_rate,avg_win,avg_loss
IWM,2020-12-14,2026-04-23,5.3552361396303905,23,0.1373537769747437,0.5453442900158562,-0.40799051304111245,0.024324488371816333,0.04524090223128565,0.30434782608695654,0.08592880261686577,-0.026673125460078967
QQQ,2020-12-14,2026-04-23,5.3552361396303905,20,0.6230165818209719,1.2146278089639921,-0.5916112271430203,0.09464743513603846,0.05163080823106963,0.45,0.10479565477930669,-0.03441232014370386
SPY,2020-12-14,2026-04-23,5.3552361396303905,17,0.7120425191847763,1.0957985605795237,-0.3837560413947474,0.10561749403035048,0.03425361923142178,0.5294117647058824,0.07999633043297258,-0.01743790964086024
XLC,2020-12-14,2026-04-23,5.3552361396303905,23,0.4609812925064609,0.8567772365150511,-0.3957959440085902,0.07335803465189161,0.005863160287869313,0.34782608695652173,0.1123556424423312,-0.029639645559765317
XLE,2020-12-14,2026-04-23,5.3552361396303905,32,0.07468314119249064,2.538738342178818,-2.4640552009863272,0.01354046819981125,8.05585198232423e-18,0.3125,0.10605357226535173,-0.03980450367056862
XLF,2020-12-14,2026-04-23,5.3552361396303905,23,0.4716204324037476,1.028829149990169,-0.5572087175864213,0.07481331131921931,0.018009761695802904,0.5217391304347826,0.05818100461861469,-0.023525002930354123
XLI,2020-12-14,2026-04-23,5.3552361396303905,21,0.5252499864488147,1.1594921493074979,-0.6342421628586832,0.08202138479125543,0.014175951523708952,0.38095238095238093,0.10047374104927428,-0.02536408641429549
XLK,2020-12-14,2026-04-23,5.3552361396303905,22,0.586227784764936,1.6071983849003448,-1.0209706001354089,0.08997085801225113,0.05958059719532401,0.36363636363636365,0.1337518113276545,-0.03555174025015562
XLP,2020-12-14,2026-04-23,5.3552361396303905,26,0.09406779945053811,0.4395836559447622,-0.34551585649422406,0.016929515098608627,-5.3017695518905214e-17,0.4230769230769231,0.03514957247136518,-0.018747942480182394
XLRE,2020-12-14,2026-04-23,5.3552361396303905,25,0.23230664075452867,0.4729241535800326,-0.24061751282550392,0.03977699217441244,0.025515257677848475,0.36,0.07178162654969408,-0.024244318899494938
XLU,2020-12-14,2026-04-23,5.3552361396303905,25,0.0028726855310912125,0.7604850761790991,-0.7576123906480079,0.0005358000284059194,-2.471523202309311e-17,0.44,0.0463280283016904,-0.0341469087027803
XLV,2020-12-14,2026-04-23,5.3552361396303905,18,0.4122046259258987,0.44088895651001236,-0.028684330584113682,0.06657365810148819,6.695135495322098e-17,0.5,0.062372190882493336,-0.0203737445945083
XLY,2020-12-14,2026-04-23,5.3552361396303905,23,0.418826915552851,0.5722157496063455,-0.15338883405349446,0.06750583040055647,-0.003336042075857603,0.43478260869565216,0.0741876944775276,-0.026534135506487387
