entry_date,exit_date,hold_days,entry_price,exit_price,pnl_pct,exit_type,peak_price
2000-01-24,2000-01-27,3,77.2913,76.395,-1.16,ema,78.4512
2000-02-04,2000-03-14,39,81.9572,90.5774,10.52,trail,97.0095
2000-06-08,2000-06-23,15,78.6621,77.1858,-1.88,trail,83.4071
2000-08-21,2000-09-06,16,80.5601,80.9818,0.52,trail,86.5704
2001-01-23,2001-01-31,8,57.1644,54.241,-5.11,trail,57.1644
2001-04-23,2001-05-10,17,38.0868,38.6098,1.37,trail,41.3176
2001-10-17,2001-10-29,12,27.3736,28.7148,4.9,trail,31.0431
2002-03-11,2002-03-20,9,32.5024,30.4188,-6.41,trail,32.5024
2002-08-21,2002-08-27,6,21.7217,20.5576,-5.36,trail,22.0676
2002-10-18,2002-11-08,21,20.0852,21.1481,5.29,trail,22.3291
2003-01-09,2003-01-17,8,22.5231,21.3505,-5.21,trail,22.8605
2003-03-17,2003-03-31,14,22.4387,21.2999,-5.08,trail,22.9196
2003-08-19,2003-09-25,37,27.3061,27.6604,1.3,trail,29.3391
2003-11-28,2003-12-11,13,29.8452,29.7777,-0.23,ema,30.2838
2003-12-12,2003-12-16,4,29.7271,29.3981,-1.11,ema,29.7271
2003-12-19,2004-02-04,47,29.9127,30.6586,2.49,trail,32.5658
2004-02-12,2004-02-20,8,31.4349,31.1058,-1.05,ema,31.6881
2004-04-06,2004-04-30,24,31.2071,29.3421,-5.98,trail,31.4012
2004-05-28,2004-07-08,41,30.8442,30.1269,-2.33,trail,31.8484
2004-09-03,2005-01-07,126,28.8104,32.8436,14.0,ema,34.1607
2005-05-16,2005-06-28,43,31.08,31.6801,1.93,ema,32.9373
2005-07-12,2005-08-23,42,32.6607,33.0274,1.12,ema,34.1786
2005-09-08,2005-09-22,14,33.5988,32.9507,-1.93,ema,33.8802
2005-10-04,2005-10-07,3,33.5135,32.6949,-2.44,ema,33.5135
2005-11-03,2005-12-30,57,34.0593,34.5432,1.42,ema,35.9098
2006-01-05,2006-01-26,21,35.834,35.5177,-0.88,ema,36.9367
2006-03-06,2006-03-07,1,35.1245,34.9193,-0.58,ema,35.1245
2006-03-21,2006-05-03,43,35.1662,35.4913,0.92,ema,36.552
2006-05-09,2006-05-11,2,35.9618,34.8497,-3.09,ema,35.9618
2006-08-17,2006-12-26,131,33.1526,36.9681,11.51,ema,38.3106
2007-01-09,2007-01-29,20,37.8171,37.3969,-1.11,ema,38.8547
2007-02-05,2007-02-14,9,37.8342,38.2458,1.09,ema,38.2458
2007-03-26,2007-07-31,127,38.0125,40.8159,7.38,trail,43.2118
2007-09-04,2007-11-08,65,42.6622,44.4458,4.18,trail,47.2811
2007-12-11,2007-12-18,7,44.0935,42.8649,-2.79,ema,44.4887
2007-12-27,2008-01-04,8,44.6125,41.628,-6.69,trail,44.6125
2008-03-27,2008-06-11,76,37.6236,40.774,8.37,trail,43.5112
2008-08-11,2008-09-02,22,41.1297,39.2347,-4.61,trail,41.5604
2009-01-05,2009-01-12,7,26.7761,25.4813,-4.84,trail,27.0437
2009-02-05,2009-02-17,12,26.3876,25.2223,-4.42,trail,27.1904
2009-03-20,2009-05-13,54,25.2295,28.5496,13.16,trail,30.3047
2009-07-16,2009-10-30,106,32.3417,35.4925,9.74,trail,37.5288
2009-11-10,2010-01-22,73,37.7974,38.3292,1.41,trail,40.4384
2010-02-26,2010-05-06,69,38.85,40.4641,4.15,trail,43.8963
2010-06-22,2010-06-28,6,40.2535,39.3471,-2.25,ema,40.2535
2010-07-23,2010-08-13,21,40.1757,39.0069,-2.91,trail,41.0654
2010-09-09,2011-03-11,183,40.4984,49.4865,22.19,ema,51.5802
2011-04-01,2011-04-19,18,50.4073,49.6529,-1.5,ema,50.4073
2011-04-21,2011-05-24,33,51.1793,49.6265,-3.03,ema,51.9513
2011-07-05,2011-08-02,28,51.171,49.4741,-3.32,trail,52.4282
2011-09-15,2011-09-22,7,49.3949,47.1963,-4.45,trail,49.8653
2011-10-12,2011-11-17,36,49.8565,49.1782,-1.36,trail,51.9177
2011-12-08,2011-12-15,7,49.4337,48.2181,-2.46,ema,50.2265
2012-01-04,2012-04-23,110,50.5248,57.6432,14.09,ema,60.451
2012-04-30,2012-05-07,7,59.1313,57.3598,-3.0,ema,59.397
2012-06-21,2012-06-29,8,55.654,56.959,2.34,ema,56.959
2012-07-02,2012-10-10,100,57.1276,59.5786,4.29,ema,62.4987
