entry_date,exit_date,hold_days,entry_price,exit_price,pnl_pct,exit_type,peak_price
2000-01-18,2000-01-25,7,91.6031,89.1688,-2.66,ema,92.3491
2000-03-13,2000-04-13,31,87.0681,90.8518,4.35,trail,96.717
2000-06-05,2000-06-28,23,92.6626,91.8944,-0.83,ema,93.729
2000-08-10,2000-09-12,33,92.6243,93.7488,1.21,ema,96.274
2000-11-02,2000-11-13,11,90.3155,85.7963,-5.0,ema,90.9979
2001-01-19,2001-02-09,21,85.0774,83.6963,-1.62,ema,87.5624
2001-04-18,2001-05-31,43,78.9312,80.1724,1.57,ema,83.8007
2001-08-03,2001-08-09,6,77.8406,75.8873,-2.51,ema,77.8406
2001-10-12,2001-10-31,19,70.1618,67.791,-3.38,ema,70.8474
2001-11-02,2001-12-14,42,70.0016,72.4877,3.55,ema,75.2237
2002-03-04,2002-03-26,22,74.4216,73.6805,-1.0,ema,75.7309
2002-05-24,2002-05-29,5,70.0825,69.1863,-1.28,ema,70.0825
2002-08-15,2002-09-03,19,60.4991,57.1215,-5.58,trail,62.5567
2002-10-18,2002-11-14,27,57.6116,58.97,2.36,ema,60.4714
2003-01-07,2003-01-22,15,60.566,57.5877,-4.92,ema,60.9579
2003-03-19,2003-06-26,99,57.4505,65.0249,13.18,ema,66.6664
2003-07-28,2003-07-31,3,65.7225,65.4132,-0.47,ema,65.7225
2003-08-18,2003-09-26,39,66.1306,66.0343,-0.15,ema,68.8421
2003-10-06,2003-10-27,21,68.6175,68.4656,-0.22,ema,69.6415
2003-11-26,2004-02-05,71,70.2758,75.1283,6.9,ema,76.9139
2004-04-05,2004-04-21,16,76.7839,75.052,-2.26,ema,76.7839
2004-06-01,2004-07-06,35,75.0786,74.8045,-0.37,ema,76.7165
2004-08-25,2004-09-24,30,74.2763,74.8271,0.74,ema,75.9878
2004-11-01,2005-01-06,66,76.2034,80.2404,5.3,ema,82.1008
2005-02-07,2005-03-16,37,81.2281,80.5855,-0.79,ema,83.0682
2005-05-09,2005-05-16,7,80.0191,79.3263,-0.87,ema,80.0191
2005-05-17,2005-06-27,41,79.8561,81.249,1.74,ema,82.8992
2005-07-06,2005-08-11,36,81.474,84.4335,3.63,ema,85.0472
2005-09-08,2005-09-22,14,84.2152,83.0945,-1.33,ema,84.9654
2005-10-04,2005-10-05,1,83.0124,81.9235,-1.31,ema,83.0124
2005-11-03,2005-12-29,56,83.7314,86.1856,2.93,ema,87.5252
2006-02-16,2006-03-09,21,88.9186,87.6932,-1.38,ema,89.1251
2006-04-20,2006-05-15,25,90.6338,89.5072,-1.24,ema,91.6637
2006-07-03,2006-07-14,11,88.7226,85.7514,-3.35,ema,88.7226
2006-07-27,2007-01-08,165,87.9659,98.998,12.54,ema,99.9235
2007-03-23,2007-06-08,77,100.9393,106.3245,5.34,ema,108.4787
