symbol,variant,threshold,cagr,sharpe,max_dd,n_trades,n_suppressed,n_blocked,max_supp_dd
SPY,bh,,0.14212660456357695,0.8615451100207716,-0.3371725495146518,,0,0,
SPY,baseline,,0.06904113214187846,0.8024202115000276,-0.14899970543545638,155.0,0,0,
SPY,exit_filter,-3.0,0.1561014895810322,1.0766259942660268,-0.23009977303010387,19.0,142,0,-0.11202849458406539
SPY,entry_gate,-3.0,0.07616454125561956,0.8882150554637812,-0.14098522831058813,149.0,0,3,0.0
SPY,combined,-3.0,0.1660551578441476,1.1504203130173218,-0.23009977303010376,15.0,139,3,-0.09554559837371923
SPY,exit_filter,-2.5,0.163123829425039,1.139587687313468,-0.23009977303010365,23.0,134,0,-0.09554559837371923
SPY,entry_gate,-2.5,0.07616454125561956,0.8882150554637812,-0.14098522831058813,149.0,0,3,0.0
SPY,combined,-2.5,0.17087414570177195,1.1919464761073566,-0.23009977303010376,17.0,134,3,-0.09554559837371923
SPY,exit_filter,-2.0,0.16038507216377362,1.1323631925583104,-0.25329774706708563,27.0,132,0,-0.11807868043714331
SPY,entry_gate,-2.0,0.07706069357676415,0.8990677026131476,-0.14098522831058813,147.0,0,4,0.0
SPY,combined,-2.0,0.16908986292865058,1.1918813752607007,-0.25329774706708585,19.0,132,4,-0.11807868043714331
SPY,exit_filter,-1.5,0.16355767812905886,1.1677819308723576,-0.22954739886842745,29.0,128,0,-0.11807868043714331
SPY,entry_gate,-1.5,0.07706069357676415,0.8990677026131476,-0.14098522831058813,147.0,0,4,0.0
SPY,combined,-1.5,0.17228626864090768,1.2285723125923609,-0.22954739886842723,21.0,128,4,-0.11807868043714331
SPY,exit_filter,-1.0,0.16336990013257746,1.1723036324522447,-0.22954739886842723,31.0,126,0,-0.11807868043714331
SPY,entry_gate,-1.0,0.07867454398171736,0.9176650197153562,-0.14098522831058813,145.0,0,5,0.0
SPY,combined,-1.0,0.1738533334010386,1.2452481475108763,-0.22954739886842734,21.0,126,5,-0.11807868043714331
SPY,exit_filter,-0.5,0.1692805836535589,1.2357749115772803,-0.19348882379379484,33.0,122,0,-0.09554559837371923
SPY,entry_gate,-0.5,0.08018574617035257,0.9679411761807745,-0.14098522831058813,141.0,0,7,0.0
SPY,combined,-0.5,0.18147018085801792,1.3414290087530014,-0.19348882379379506,19.0,122,7,-0.09554559837371923
SPY,exit_filter,0.0,0.17582834853062668,1.3373324843193533,-0.19348882379379462,37.0,114,0,-0.09554559837371923
SPY,entry_gate,0.0,0.07565797814069897,0.9756111740795393,-0.14098522831058935,133.0,0,11,0.0
SPY,combined,0.0,0.16895271917106336,1.3854153368969133,-0.19348882379379473,21.0,107,11,-0.08529454492298771
SPY,exit_filter,0.5,0.17106957038955883,1.341711219188979,-0.1688863837016671,43.0,105,0,-0.15607446791172797
SPY,entry_gate,0.5,0.07615106336331467,0.9867952148146544,-0.14098522831058935,131.0,0,12,0.0
SPY,combined,0.5,0.16475545103695444,1.4032278302641508,-0.16888638370166742,25.0,98,12,-0.15607446791172797
SPY,exit_filter,1.0,0.16130814415437755,1.3020249255691023,-0.16888638370166775,55.0,92,0,-0.15607446791172797
SPY,entry_gate,1.0,0.07732661347158176,1.0240496020307992,-0.1409852283105888,123.0,0,17,0.0
SPY,combined,1.0,0.1596556241357967,1.4001736093519352,-0.1688863837016673,29.0,88,16,-0.15607446791172797
SPY,exit_filter,1.5,0.13665084770292424,1.1736591762283746,-0.16888638370166686,77.0,71,0,-0.15607446791172797
SPY,entry_gate,1.5,0.08196841022769696,1.098490401731983,-0.14098522831058846,109.0,0,25,0.0
SPY,combined,1.5,0.13876452286815488,1.3157708145961595,-0.1688863837016673,37.0,66,24,-0.15607446791172797
SPY,exit_filter,2.0,0.12621393639954936,1.1703611383844583,-0.17419110890700895,99.0,53,0,-0.15607446791172797
SPY,entry_gate,2.0,0.07487298785270591,1.109900461355681,-0.13414066033425298,91.0,0,35,0.0
SPY,combined,2.0,0.11763913883065014,1.3257131679982905,-0.17319721066443472,45.0,43,35,-0.15607446791172797
SPY,exit_filter,2.5,0.11495086877375815,1.1072248253395878,-0.19120445961067367,109.0,40,0,-0.15607446791172797
SPY,entry_gate,2.5,0.06950577528849422,1.0959659647687365,-0.13414066033425187,77.0,0,42,0.0
SPY,combined,2.5,0.10584437901106614,1.2960289441379338,-0.1688863837016672,35.0,34,42,-0.15607446791172797
