lookback_months,year,symbol,entry_fast,entry_slow,exit_fast,exit_slow,trailing_stop,is_sharpe,oos_strat_ret,oos_trades,oos_oos_strat_ret,oos_cagr,oos_sharpe,oos_max_dd,oos_win_rate,oos_trail_exits,oos_ma_exits,oos_bh_return
60,2010,SPY,7,26,12,21,0.06,1.068417325897566,0.044470206857561534,4,0.044470206857561534,0.045005357294922055,0.642916829981697,-0.13953052730929583,0.75,2,2,0.1313735269038964
60,2010,QQQ,9,11,12,25,0.06,1.1230869804993482,0.07955686957302643,5,0.07955686957302643,0.08053022589457148,0.760238034469913,-0.19484897205511142,0.4,3,2,0.18409719535700955
60,2011,SPY,7,24,12,13,0.06,1.1017658123685152,-0.03263499059376007,6,-0.03263499059376007,-0.03301278512589001,-0.5127255938767011,-0.04633764049221367,0.16666666666666666,0,6,0.00852378384500883
60,2011,QQQ,10,13,10,11,0.05,1.2698699120400054,-0.04380484896913417,13,-0.04380484896913417,-0.04430896019716313,-0.4026822282355964,-0.09518694241879044,0.46153846153846156,1,12,0.018855547560075014
60,2012,SPY,7,26,11,17,0.06,1.0530764742987662,-0.046728872400173316,2,-0.046728872400173316,-0.04701159697673318,-0.6132868477787198,-0.06527239958047604,0.0,0,2,0.14170827619033866
60,2012,QQQ,6,13,12,13,0.06,1.2768243846948113,0.018825441830422784,6,0.018825441830422784,0.018943226771818145,0.21947606643166173,-0.039715258722985314,0.5,0,6,0.1589142123422044
60,2013,SPY,7,26,12,14,0.06,1.2644826783117133,0.046499647442488135,6,0.046499647442488135,0.04679450949998487,0.8390721434657687,-0.03691073337911133,0.8333333333333334,0,6,0.29001440765549635
60,2013,QQQ,5,12,12,13,0.06,1.5573026818033233,0.05610869938152985,13,0.05610869938152985,0.05646612029219522,0.7953992957540967,-0.04399329892269377,0.5384615384615384,0,13,0.32425326624091155
60,2014,SPY,9,10,11,17,0.06,1.6035193366895601,0.07058083447648555,7,0.07058083447648555,0.07103350273873144,0.5932177604372343,-0.06137233599512326,0.7142857142857143,1,6,0.14561754283015402
60,2014,QQQ,3,20,9,10,0.05,1.6964554313309834,0.04772994653828433,8,0.04772994653828433,0.048032787724603176,0.5125146668490926,-0.047490740698482914,0.375,0,8,0.20123707495275042
60,2015,SPY,9,10,11,17,0.06,1.5859482319601745,-0.08995058663695954,11,-0.08995058663695954,-0.0904821129479706,-0.8002202416215609,-0.13878365973446471,0.36363636363636365,1,10,0.012884830920508817
60,2015,QQQ,7,26,11,13,0.05,1.69509409701144,-0.029387332128932853,9,-0.029387332128932853,-0.029566765322270427,-0.33426120568805395,-0.12009847224039816,0.4444444444444444,1,8,0.0976545506096015
60,2016,SPY,7,8,12,18,0.06,1.050959152922621,0.11980609398189834,5,0.11980609398189834,0.12129885293212062,1.458533739603456,-0.06655065073981492,0.8,0,5,0.1358576034341856
60,2016,QQQ,12,25,4,8,0.04,1.2791252073944677,0.004683456795000263,5,0.004683456795000263,0.004738724880652079,0.08568140224093393,-0.03620775446858859,0.6,0,5,0.09406165648849293
60,2017,SPY,12,13,3,8,0.06,1.2272531660325223,0.07746302378981862,10,0.07746302378981862,0.07863599674677157,1.5597777407122697,-0.019035297286540298,0.8,0,10,0.20781402698937476
60,2017,QQQ,12,18,9,23,0.06,1.1272124844351672,0.15844975672237394,5,0.15844975672237394,0.1609372472625834,1.6404181041036667,-0.0368923339113264,0.8,0,5,0.31487180295602923
60,2018,SPY,12,13,4,9,0.06,1.4938847808296514,-0.04249968073521948,11,-0.04249968073521948,-0.04275739499079745,-0.7222892665871049,-0.0692825795869616,0.2727272727272727,0,11,-0.05247172883209224
60,2018,QQQ,12,18,12,20,0.06,1.509167530917838,-0.15197002976816243,8,-0.15197002976816243,-0.15283604596085876,-1.3734322149245488,-0.19222436399199805,0.5,3,5,-0.01846528954211892
60,2019,SPY,10,26,3,21,0.03,1.099685235465126,0.07298931838216349,3,0.07298931838216349,0.07345795683397238,2.2781410349389346,-0.04549794700271703,0.6666666666666666,1,2,0.3108746917913159
60,2019,QQQ,11,26,10,26,0.06,1.0835214024050306,0.036564354165009805,3,0.036564354165009805,0.03679511225449317,1.1810222675752453,-0.14105362857449277,0.3333333333333333,2,1,0.38405316922701427
60,2020,SPY,12,20,4,26,0.03,1.574742543554233,0.022563739196643784,4,0.022563739196643784,0.02264209524479255,0.5766654287382754,-0.08062327284568727,0.25,4,0,0.17235288736209234
60,2020,QQQ,4,12,10,11,0.03,1.426369924040837,-0.018278143170519012,7,-0.018278143170519012,-0.018340332377702717,-0.20801527309134157,-0.0806677010354181,0.2857142857142857,3,4,0.4596881111607568
60,2021,SPY,11,12,3,23,0.03,1.9222020170422094,0.09718689952694692,8,0.09718689952694692,0.09838560154610532,0.8474044116615994,-0.061445288208341164,0.625,4,4,0.30505466635116707
60,2021,QQQ,11,13,12,26,0.05,1.7799717949928637,0.09498933365382567,4,0.09498933365382567,0.09615976115605074,1.0714272485495486,-0.09126441957320297,0.75,2,2,0.2924465763241905
60,2022,SPY,11,12,4,19,0.04,1.7255738674620753,-0.02064750904560053,9,-0.02064750904560053,-0.02088803264637762,-0.13697050733706667,-0.13184958843815964,0.6666666666666666,6,3,-0.18646407230964557
60,2022,QQQ,11,13,4,18,0.05,1.7185257081957792,-0.08939449816401379,9,-0.08939449816401379,-0.0903978646688518,-0.44917747043273265,-0.18688798927959127,0.3333333333333333,7,2,-0.33219889549311576
60,2023,SPY,8,10,8,17,0.03,1.3979733248995554,0.08483648014839695,7,0.08483648014839695,0.08612549966893934,1.5929290862088652,-0.08394537144889413,0.42857142857142855,3,4,0.26709219554611585
60,2023,QQQ,6,25,3,25,0.05,1.3599766806593692,0.1443628949042679,5,0.1443628949042679,0.14661553788224002,1.6240514469839311,-0.11551130642059504,0.6,2,3,0.5590953945240507
60,2024,SPY,12,15,7,11,0.05,1.5390928448033283,0.07083667204647592,7,0.07083667204647592,0.07108837868843798,1.0771488685532302,-0.03954640396861453,0.5714285714285714,0,7,0.2558930569325586
60,2024,QQQ,10,11,7,12,0.06,1.7026367313207473,0.14533687897822056,13,0.14533687897822056,0.14587072881153018,1.0373442666773296,-0.10839885021775997,0.46153846153846156,0,13,0.27739912351043966
60,2025,SPY,8,10,8,17,0.03,1.453265975640943,0.25832865515995684,7,0.25832865515995684,0.2601221485978249,2.0737014186030613,-0.09166153099377039,0.5714285714285714,2,5,0.18009014616634136
60,2025,QQQ,10,16,8,13,0.05,1.6210953874844425,-0.025964982821783056,8,-0.025964982821783056,-0.026123802124450313,-0.1845327030732798,-0.11064313077884025,0.375,2,6,0.2100925351496274
60,2026,SPY,8,11,11,12,0.05,1.6468654443569315,-0.018283162005805265,5,-0.018283162005805265,-0.05014723561426204,-1.3037862080503293,-0.02183828610473837,0.2,0,5,0.08953447287954783
60,2026,QQQ,8,10,10,14,0.04,1.524094944347363,-0.06267353833599643,3,-0.06267353833599643,-0.16511425363604415,2.212246206083135,-0.06446174744714506,0.0,1,2,0.16716334214052678
72,2010,SPY,7,26,12,21,0.06,0.9100471597544457,0.044470206857561534,4,0.044470206857561534,0.045005357294922055,0.642916829981697,-0.13953052730929583,0.75,2,2,0.1313735269038964
72,2010,QQQ,11,12,12,13,0.06,1.175704522775748,0.09537000139207841,11,0.09537000139207841,0.09654532291236428,0.9211555907152464,-0.08714663707601433,0.5454545454545454,2,9,0.18409719535700955
72,2011,SPY,7,24,12,13,0.06,1.0777901898399387,-0.03263499059376007,6,-0.03263499059376007,-0.03301278512589001,-0.5127255938767011,-0.04633764049221367,0.16666666666666666,0,6,0.00852378384500883
72,2011,QQQ,10,13,10,11,0.05,1.05094211762335,-0.04380484896913417,13,-0.04380484896913417,-0.04430896019716313,-0.4026822282355964,-0.09518694241879044,0.46153846153846156,1,12,0.018855547560075014
